id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
27,7493682492,Aundh,Cashier,FALSE,34,Male,Full Time,Afternoon,Whole Day,10000,9,50,844137000000,no,FALSE,FALSE,FALSE
28,8278480702,Aundh,Childcare Worker,FALSE,25,Female,Part Time,Afternoon,Afternoon,2000,2,20,211614000000,yes,TRUE,FALSE,FALSE
29,9844830658,Aundh,Cook,TRUE,31,Male,Full Time,Evening,Whole Day,4000,2,6,549673000000,yes,TRUE,FALSE,TRUE
30,8331715780,Aundh,Driver,TRUE,27,Male,Full Time,Evening,Whole Day,4500,1,10,745195000000,yes,FALSE,FALSE,FALSE
31,8804988377,Aundh,Electrician,FALSE,27,Male,Full Time,Morning,Whole Day,10000,9,44,563459000000,yes,FALSE,FALSE,TRUE
32,9436646517,Aundh,Hairdresser,TRUE,18,Female,Full Time,Afternoon,Whole Day,6500,9,56,750836000000,no,FALSE,FALSE,TRUE
33,8686700985,Aundh,Janitor,FALSE,35,Male,Part Time,Afternoon,Afternoon,4000,2,12,179975000000,no,FALSE,FALSE,FALSE
34,8556466182,Aundh,Maid,TRUE,21,Female,Full Time,Morning,Whole Day,5500,7,49,791532000000,yes,TRUE,FALSE,TRUE
35,8842234498,Aundh,Mehndi Artist,TRUE,22,Female,Part Time,Afternoon,Afternoon,7500,6,42,545432000000,no,TRUE,FALSE,TRUE
36,9881349893,Aundh,Painter,TRUE,36,Male,Full Time,Afternoon,Whole Day,7000,10,42,147637000000,no,TRUE,FALSE,FALSE
37,8090721092,Aundh,Plumber,TRUE,21,Male,Full Time,Afternoon,Whole Day,3000,5,22,301340000000,yes,FALSE,FALSE,TRUE
38,7835314764,Aundh,Receptionist,TRUE,26,Female,Full Time,Evening,Whole Day,6000,8,60,511138000000,no,FALSE,FALSE,TRUE
39,9059262543,Aundh,Security Guard,FALSE,20,Male,Full Time,Morning,Whole Day,2500,4,24,741439000000,yes,FALSE,FALSE,TRUE
40,7434640911,Aundh,Tailor,TRUE,18,Male,Full Time,Afternoon,Whole Day,5500,10,59,140837000000,no,FALSE,FALSE,TRUE
41,9572230651,Aundh,Waiter,TRUE,20,Male,Part Time,Afternoon,Afternoon,2000,3,40,820648000000,no,TRUE,FALSE,FALSE
42,9514321337,Aundh,Waitress,TRUE,24,Female,Part Time,Morning,Morning,2000,4,25,226551000000,no,FALSE,FALSE,TRUE
43,9541881683,Aundh,Worker,FALSE,38,Male,Full Time,Afternoon,Whole Day,6500,6,60,200744000000,yes,FALSE,FALSE,FALSE
44,7466450882,Aundh,Salesperson,FALSE,29,Female,Full Time,Afternoon,Whole Day,3000,2,15,908611000000,no,TRUE,FALSE,FALSE
45,8574717742,Aundh,Delivery Boy,FALSE,31,Male,Full Time,Morning,Whole Day,8500,6,44,337197000000,yes,FALSE,FALSE,TRUE
46,9541712539,Aundh,Mechanic,FALSE,37,Male,Full Time,Morning,Whole Day,5500,6,51,31095980057,yes,TRUE,FALSE,FALSE
47,8308576303,Bibewadi,Accountant,TRUE,23,Female,Part Time,Evening,Evening,2500,2,10,832050000000,no,FALSE,FALSE,TRUE
48,8299936720,Bibewadi,Brick mason,TRUE,21,Male,Part Time,Afternoon,Afternoon,6500,8,47,11244313549,no,FALSE,FALSE,TRUE
49,7810320428,Bibewadi,Carpenter,TRUE,21,Male,Part Time,Afternoon,Afternoon,3000,2,16,879454000000,yes,FALSE,FALSE,TRUE
50,9244575100,Bibewadi,Cashier,FALSE,29,Male,Full Time,Morning,Whole Day,8000,9,45,330730000000,no,FALSE,FALSE,FALSE
51,9856045829,Bibewadi,Childcare Worker,TRUE,22,Female,Full Time,Evening,Whole Day,10000,8,52,697916000000,yes,FALSE,FALSE,TRUE
52,8041757517,Bibewadi,Cook,TRUE,36,Male,Part Time,Morning,Morning,6000,9,44,846437000000,yes,TRUE,FALSE,TRUE
53,8089545680,Bibewadi,Driver,FALSE,37,Male,Part Time,Evening,Evening,4500,3,40,706138000000,yes,TRUE,FALSE,FALSE
54,9482191995,Bibewadi,Electrician,TRUE,27,Male,Full Time,Morning,Whole Day,10000,9,50,528865000000,yes,TRUE,FALSE,TRUE
55,7912385084,Bibewadi,Hairdresser,FALSE,19,Female,Full Time,Afternoon,Whole Day,8500,9,47,11166390859,no,TRUE,FALSE,TRUE
56,7960471359,Bibewadi,Janitor,FALSE,29,Male,Part Time,Morning,Morning,3000,3,26,964725000000,no,TRUE,FALSE,TRUE
57,7030661482,Bibewadi,Maid,TRUE,26,Female,Full Time,Afternoon,Whole Day,3000,4,29,631136000000,yes,FALSE,FALSE,FALSE
58,7593076630,Bibewadi,Mehndi Artist,TRUE,22,Female,Part Time,Morning,Morning,2000,5,26,53413639196,no,TRUE,FALSE,FALSE
59,8021520281,Bibewadi,Painter,FALSE,26,Male,Part Time,Morning,Morning,8500,7,49,507268000000,no,FALSE,FALSE,FALSE
60,8376733100,Bibewadi,Plumber,TRUE,23,Male,Part Time,Morning,Morning,5000,10,51,593871000000,yes,TRUE,FALSE,FALSE
61,9163988799,Bibewadi,Receptionist,FALSE,26,Female,Part Time,Afternoon,Afternoon,3000,5,36,803969000000,no,TRUE,FALSE,TRUE
62,8751143547,Bibewadi,Security Guard,FALSE,27,Male,Part Time,Evening,Evening,3000,5,30,928248000000,yes,TRUE,FALSE,FALSE
63,7188613679,Bibewadi,Tailor,TRUE,26,Male,Part Time,Evening,Evening,3000,3,29,171180000000,no,FALSE,FALSE,FALSE
64,9470779863,Bibewadi,Waiter,FALSE,26,Male,Full Time,Morning,Whole Day,10000,7,47,262242000000,no,TRUE,FALSE,TRUE
65,9039569518,Bibewadi,Waitress,TRUE,29,Female,Part Time,Afternoon,Afternoon,6500,8,55,181503000000,no,FALSE,FALSE,TRUE
66,9658513760,Bibewadi,Worker,FALSE,22,Male,Part Time,Afternoon,Afternoon,7500,9,45,644508000000,yes,FALSE,FALSE,FALSE
67,9528795506,Bibewadi,Salesperson,TRUE,24,Female,Full Time,Morning,Whole Day,5500,7,57,806125000000,no,FALSE,FALSE,TRUE
68,8431156635,Bibewadi,Delivery Boy,TRUE,20,Male,Part Time,Evening,Evening,2000,4,33,47408796589,yes,FALSE,FALSE,TRUE
69,8484133590,Bibewadi,Mechanic,TRUE,23,Male,Full Time,Evening,Whole Day,9000,7,57,828117000000,yes,FALSE,FALSE,TRUE
70,9548612540,Balewadi,Accountant,TRUE,31,Female,Part Time,Morning,Morning,3000,5,35,729380000000,no,TRUE,FALSE,FALSE
71,8878752530,Balewadi,Brick mason,FALSE,19,Male,Full Time,Afternoon,Whole Day,2500,4,31,692917000000,no,TRUE,FALSE,TRUE
72,9181921333,Balewadi,Carpenter,FALSE,27,Male,Part Time,Afternoon,Afternoon,10000,10,60,826980000000,yes,FALSE,FALSE,FALSE
73,9757537176,Balewadi,Cashier,TRUE,18,Male,Part Time,Morning,Morning,3500,1,7,476445000000,no,TRUE,FALSE,FALSE
74,8089321683,Balewadi,Childcare Worker,TRUE,36,Female,Full Time,Afternoon,Whole Day,5000,9,50,126749000000,yes,TRUE,FALSE,TRUE
75,9610273657,Balewadi,Cook,TRUE,26,Male,Part Time,Evening,Evening,5500,10,51,148258000000,yes,TRUE,FALSE,FALSE
76,9658384336,Balewadi,Driver,FALSE,39,Male,Part Time,Evening,Evening,8500,8,42,245902000000,yes,TRUE,FALSE,FALSE
77,8783309630,Balewadi,Electrician,FALSE,18,Male,Part Time,Afternoon,Afternoon,6000,8,47,141392000000,yes,TRUE,FALSE,FALSE
78,9766981022,Balewadi,Hairdresser,TRUE,37,Female,Part Time,Afternoon,Afternoon,9000,7,44,873001000000,no,TRUE,FALSE,FALSE
79,7142099977,Balewadi,Janitor,FALSE,24,Male,Full Time,Afternoon,Whole Day,8500,10,46,489707000000,no,TRUE,FALSE,TRUE
80,7785483079,Balewadi,Maid,TRUE,39,Female,Part Time,Afternoon,Afternoon,7500,9,47,740552000000,yes,FALSE,FALSE,FALSE
81,9354948004,Balewadi,Mehndi Artist,FALSE,18,Female,Full Time,Morning,Whole Day,6000,10,53,573154000000,no,TRUE,FALSE,FALSE
82,7746993940,Balewadi,Painter,FALSE,36,Male,Full Time,Morning,Whole Day,6500,7,42,271800000000,no,FALSE,FALSE,TRUE
83,9595205570,Balewadi,Plumber,TRUE,20,Male,Full Time,Evening,Whole Day,5000,8,44,975119000000,yes,FALSE,FALSE,TRUE
84,9741735090,Balewadi,Receptionist,TRUE,28,Male,Part Time,Morning,Morning,4500,2,18,851991000000,no,FALSE,FALSE,FALSE
85,9308312604,Balewadi,Security Guard,TRUE,21,Male,Full Time,Afternoon,Whole Day,10000,10,53,279907000000,yes,TRUE,FALSE,TRUE
86,8047962059,Balewadi,Tailor,TRUE,18,Male,Part Time,Morning,Morning,3500,2,17,919836000000,no,FALSE,FALSE,TRUE
87,8360295023,Balewadi,Waiter,TRUE,40,Male,Full Time,Morning,Whole Day,8000,10,55,903537000000,no,FALSE,FALSE,FALSE
88,9418418346,Balewadi,Waitress,FALSE,27,Female,Part Time,Morning,Morning,5000,8,44,113825000000,no,TRUE,FALSE,TRUE
89,8236175124,Balewadi,Worker,FALSE,19,Male,Full Time,Morning,Whole Day,9500,7,54,986044000000,yes,TRUE,FALSE,FALSE
90,7774900276,Balewadi,Salesperson,FALSE,30,Female,Part Time,Afternoon,Afternoon,9000,9,41,197013000000,no,TRUE,FALSE,TRUE
91,8772308870,Balewadi,Delivery Boy,TRUE,29,Male,Full Time,Afternoon,Whole Day,3000,1,7,771853000000,yes,FALSE,FALSE,FALSE
92,7946738467,Balewadi,Mechanic,TRUE,18,Male,Part Time,Morning,Morning,7000,9,60,337942000000,yes,FALSE,FALSE,FALSE
93,9344615796,Baner,Accountant,FALSE,22,Female,Part Time,Morning,Morning,3000,3,35,356213000000,no,TRUE,FALSE,FALSE
94,8098801864,Baner,Brick mason,FALSE,37,Male,Part Time,Afternoon,Afternoon,3500,3,36,694003000000,no,FALSE,FALSE,FALSE
95,8201766040,Baner,Carpenter,TRUE,19,Male,Full Time,Evening,Whole Day,7500,10,58,536159000000,yes,FALSE,FALSE,TRUE
96,9864317306,Baner,Cashier,TRUE,33,Male,Full Time,Evening,Whole Day,4000,4,38,513817000000,no,TRUE,FALSE,TRUE
97,8079538116,Baner,Childcare Worker,TRUE,36,Female,Part Time,Evening,Evening,9500,10,45,963116000000,yes,FALSE,FALSE,TRUE
98,9457408123,Baner,Cook,TRUE,24,Male,Part Time,Afternoon,Afternoon,2000,4,31,308725000000,yes,TRUE,FALSE,FALSE
99,9269737220,Baner,Driver,TRUE,33,Male,Full Time,Morning,Whole Day,7500,10,41,584449000000,yes,FALSE,FALSE,FALSE
100,9672871442,Baner,Electrician,FALSE,25,Male,Full Time,Afternoon,Whole Day,7500,7,47,508247000000,yes,FALSE,FALSE,FALSE
101,8281823688,Baner,Hairdresser,TRUE,35,Female,Part Time,Afternoon,Afternoon,7000,8,59,890403000000,no,TRUE,FALSE,FALSE
102,8892217703,Baner,Janitor,FALSE,39,Male,Part Time,Afternoon,Afternoon,3000,2,7,519849000000,no,TRUE,FALSE,FALSE
103,8421847538,Baner,Maid,TRUE,33,Female,Part Time,Evening,Evening,5000,9,52,791580000000,yes,FALSE,FALSE,FALSE
104,9549460516,Baner,Mehndi Artist,TRUE,29,Female,Full Time,Morning,Whole Day,2500,3,36,123151000000,no,TRUE,FALSE,TRUE
105,8291733348,Baner,Painter,TRUE,27,Male,Part Time,Evening,Evening,8000,8,54,323917000000,no,TRUE,FALSE,TRUE
106,9294113552,Baner,Plumber,TRUE,22,Male,Part Time,Afternoon,Afternoon,3500,1,8,462952000000,yes,TRUE,FALSE,TRUE
107,9586086756,Baner,Receptionist,TRUE,28,Female,Part Time,Afternoon,Afternoon,9000,7,42,988350000000,no,TRUE,FALSE,TRUE
108,8128832641,Baner,Security Guard,FALSE,32,Male,Full Time,Afternoon,Whole Day,2500,5,37,485366000000,yes,FALSE,FALSE,FALSE
109,7420559135,Baner,Tailor,TRUE,35,Male,Part Time,Afternoon,Afternoon,10000,7,54,463665000000,no,TRUE,FALSE,FALSE
110,8567613742,Baner,Waiter,TRUE,21,Male,Part Time,Evening,Evening,2000,1,17,303190000000,no,TRUE,FALSE,FALSE
111,8880003087,Baner,Waitress,TRUE,20,Female,Part Time,Morning,Morning,8500,10,55,364107000000,no,TRUE,FALSE,FALSE
112,9117751409,Baner,Worker,TRUE,31,Male,Part Time,Evening,Evening,9500,9,41,195209000000,yes,FALSE,FALSE,TRUE
113,9093489225,Baner,Salesperson,TRUE,36,Female,Part Time,Afternoon,Afternoon,6000,8,47,886865000000,no,TRUE,FALSE,TRUE
114,8250858245,Baner,Delivery Boy,FALSE,22,Male,Part Time,Evening,Evening,4000,1,16,349171000000,yes,FALSE,FALSE,FALSE
115,8577983184,Baner,Mechanic,FALSE,31,Male,Full Time,Morning,Whole Day,8500,10,56,262352000000,yes,TRUE,FALSE,TRUE
116,9087624702,Bavdhan,Accountant,FALSE,23,Female,Part Time,Evening,Evening,3500,2,7,692533000000,no,FALSE,FALSE,FALSE
117,9899127813,Bavdhan,Brick mason,FALSE,38,Male,Part Time,Morning,Morning,6000,6,52,940630000000,no,TRUE,FALSE,FALSE
118,8891368745,Bavdhan,Carpenter,TRUE,31,Male,Part Time,Morning,Morning,5000,6,50,216361000000,yes,FALSE,FALSE,TRUE
119,9856228424,Bavdhan,Cashier,FALSE,21,Female,Part Time,Afternoon,Afternoon,8000,10,58,840714000000,no,TRUE,FALSE,FALSE
120,7039441823,Bavdhan,Childcare Worker,FALSE,24,Female,Full Time,Evening,Whole Day,8500,8,49,962272000000,yes,TRUE,FALSE,FALSE
121,9423536127,Bavdhan,Cook,TRUE,30,Male,Part Time,Morning,Morning,4500,2,7,89527655853,yes,TRUE,FALSE,TRUE
122,9765058067,Bavdhan,Driver,TRUE,27,Male,Full Time,Afternoon,Whole Day,7000,10,51,36011130705,yes,TRUE,FALSE,FALSE
123,8818217723,Bavdhan,Electrician,FALSE,31,Male,Part Time,Evening,Evening,4500,5,31,207218000000,yes,TRUE,FALSE,FALSE
124,9774799390,Bavdhan,Hairdresser,TRUE,40,Female,Full Time,Evening,Whole Day,7000,7,46,831078000000,no,TRUE,FALSE,TRUE
125,8124857235,Bavdhan,Janitor,FALSE,29,Male,Part Time,Morning,Morning,7500,9,60,645655000000,no,TRUE,FALSE,FALSE
126,7621904188,Bavdhan,Maid,FALSE,30,Female,Part Time,Morning,Morning,9500,10,40,893738000000,yes,TRUE,FALSE,FALSE
127,9014938328,Bavdhan,Mehndi Artist,FALSE,29,Female,Part Time,Afternoon,Afternoon,5500,8,41,59408419759,no,TRUE,FALSE,TRUE
128,8632479318,Bavdhan,Painter,FALSE,22,Male,Full Time,Morning,Whole Day,4500,5,38,594272000000,no,FALSE,FALSE,FALSE
129,9721302841,Bavdhan,Plumber,FALSE,33,Male,Full Time,Evening,Whole Day,9000,6,43,460331000000,yes,FALSE,FALSE,TRUE
130,9694657955,Bavdhan,Receptionist,TRUE,23,Male,Full Time,Evening,Whole Day,10000,10,60,413935000000,no,FALSE,FALSE,FALSE
131,9946941054,Bavdhan,Security Guard,TRUE,21,Male,Part Time,Afternoon,Afternoon,9500,8,46,356672000000,yes,FALSE,FALSE,FALSE
132,9317382860,Bavdhan,Tailor,TRUE,30,Male,Part Time,Afternoon,Afternoon,9500,6,48,644915000000,no,TRUE,FALSE,FALSE
133,9902785568,Bavdhan,Waiter,FALSE,31,Male,Part Time,Morning,Morning,2500,1,10,58491146827,no,FALSE,FALSE,TRUE
134,9360428481,Bavdhan,Waitress,FALSE,22,Female,Full Time,Afternoon,Whole Day,5000,10,57,761043000000,no,FALSE,FALSE,TRUE
135,9275955326,Bavdhan,Worker,FALSE,31,Male,Full Time,Evening,Whole Day,7000,6,46,803172000000,yes,FALSE,FALSE,FALSE
136,9133133210,Bavdhan,Salesperson,TRUE,29,Male,Part Time,Evening,Evening,2500,5,22,623453000000,no,TRUE,FALSE,TRUE
137,8464395327,Bavdhan,Delivery Boy,TRUE,40,Male,Part Time,Morning,Morning,2000,4,20,194030000000,yes,FALSE,FALSE,FALSE
138,7632921225,Bavdhan,Mechanic,FALSE,29,Male,Part Time,Afternoon,Afternoon,10000,9,40,64076266075,yes,FALSE,FALSE,TRUE
139,9795724072,Camp,Accountant,TRUE,37,Female,Part Time,Evening,Evening,6500,9,56,458362000000,no,TRUE,FALSE,FALSE
140,8712324481,Camp,Brick mason,FALSE,28,Male,Part Time,Evening,Evening,4000,2,9,29553665303,no,FALSE,FALSE,FALSE
141,9203173160,Camp,Carpenter,FALSE,31,Male,Full Time,Evening,Whole Day,6500,8,56,152631000000,yes,TRUE,FALSE,TRUE
142,9363828513,Camp,Cashier,FALSE,25,Male,Full Time,Evening,Whole Day,4500,5,38,251965000000,no,TRUE,FALSE,FALSE
143,7905002704,Camp,Childcare Worker,FALSE,24,Female,Part Time,Morning,Morning,5500,9,42,587038000000,yes,TRUE,FALSE,FALSE
144,7003299109,Camp,Cook,TRUE,27,Male,Part Time,Afternoon,Afternoon,7000,8,53,148718000000,yes,FALSE,FALSE,TRUE
145,8599725430,Camp,Driver,FALSE,23,Male,Full Time,Afternoon,Whole Day,3000,2,13,301607000000,yes,TRUE,FALSE,TRUE
146,7658914568,Camp,Electrician,TRUE,20,Male,Part Time,Morning,Morning,7500,6,60,956618000000,yes,TRUE,FALSE,FALSE
147,7697166609,Camp,Hairdresser,FALSE,31,Female,Full Time,Evening,Whole Day,9500,6,52,672459000000,no,TRUE,FALSE,TRUE
148,9772143062,Camp,Janitor,FALSE,29,Male,Part Time,Morning,Morning,10000,7,57,570808000000,no,FALSE,FALSE,TRUE
149,8415114443,Camp,Maid,FALSE,21,Female,Part Time,Morning,Morning,3500,1,20,181784000000,yes,FALSE,FALSE,TRUE
150,9443463581,Camp,Mehndi Artist,FALSE,37,Female,Part Time,Afternoon,Afternoon,6000,10,54,312435000000,no,FALSE,FALSE,FALSE
151,7074373397,Camp,Painter,FALSE,18,Male,Part Time,Evening,Evening,8500,8,58,917754000000,no,TRUE,FALSE,TRUE
152,9630151834,Camp,Plumber,TRUE,30,Male,Full Time,Morning,Whole Day,6500,7,46,161042000000,yes,FALSE,FALSE,TRUE
153,9438931406,Camp,Receptionist,FALSE,22,Male,Full Time,Afternoon,Whole Day,9500,9,40,31815282742,no,TRUE,FALSE,FALSE
154,9699673050,Camp,Security Guard,FALSE,19,Male,Full Time,Afternoon,Whole Day,9500,9,44,600230000000,yes,TRUE,FALSE,TRUE
155,9906004691,Camp,Tailor,TRUE,34,Male,Part Time,Evening,Evening,3000,2,8,779353000000,no,FALSE,FALSE,FALSE
156,9606266087,Camp,Waiter,FALSE,20,Male,Full Time,Morning,Whole Day,7500,9,50,80382080671,no,FALSE,FALSE,TRUE
157,9955867155,Camp,Waitress,TRUE,39,Female,Full Time,Evening,Whole Day,8500,8,60,61167241489,no,FALSE,FALSE,FALSE
158,7494348064,Camp,Worker,FALSE,24,Male,Part Time,Morning,Morning,9500,9,49,725075000000,yes,FALSE,FALSE,FALSE
159,8541792850,Camp,Salesperson,FALSE,20,Male,Full Time,Morning,Whole Day,9500,6,57,334007000000,no,TRUE,FALSE,FALSE
160,8503641231,Camp,Delivery Boy,TRUE,22,Male,Part Time,Evening,Evening,8000,9,41,984198000000,yes,TRUE,FALSE,FALSE
161,9635264073,Camp,Mechanic,FALSE,21,Male,Part Time,Afternoon,Afternoon,6500,9,54,476634000000,yes,FALSE,FALSE,FALSE
162,8285893704,Chinchwad,Accountant,TRUE,31,Male,Full Time,Afternoon,Whole Day,8500,10,58,377751000000,no,TRUE,FALSE,FALSE
163,7607223841,Chinchwad,Brick mason,FALSE,30,Male,Full Time,Afternoon,Whole Day,3000,1,5,831745000000,no,FALSE,FALSE,FALSE
164,9625240450,Chinchwad,Carpenter,FALSE,26,Male,Part Time,Afternoon,Afternoon,6500,8,40,635208000000,yes,TRUE,FALSE,TRUE
165,7168462804,Chinchwad,Cashier,FALSE,34,Male,Part Time,Afternoon,Afternoon,9000,7,40,275142000000,no,FALSE,FALSE,FALSE
166,9828087113,Chinchwad,Childcare Worker,FALSE,28,Female,Full Time,Evening,Whole Day,2000,2,17,512059000000,yes,FALSE,FALSE,FALSE
167,8218469690,Chinchwad,Cook,TRUE,20,Male,Full Time,Afternoon,Whole Day,6000,10,42,235034000000,yes,TRUE,FALSE,TRUE
168,9021907602,Chinchwad,Driver,TRUE,33,Male,Part Time,Morning,Morning,7500,8,42,180324000000,yes,FALSE,FALSE,FALSE
169,9943282308,Chinchwad,Electrician,FALSE,22,Male,Part Time,Evening,Evening,7500,8,45,423471000000,yes,TRUE,FALSE,TRUE
170,7917050573,Chinchwad,Hairdresser,FALSE,22,Female,Part Time,Evening,Evening,7000,6,53,224079000000,no,FALSE,FALSE,TRUE
171,8887748321,Chinchwad,Janitor,TRUE,30,Male,Full Time,Afternoon,Whole Day,6000,10,55,724111000000,no,TRUE,FALSE,FALSE
172,7254216514,Chinchwad,Maid,TRUE,35,Female,Full Time,Evening,Whole Day,2500,3,29,385556000000,yes,FALSE,FALSE,FALSE
173,9003551438,Chinchwad,Mehndi Artist,TRUE,18,Female,Full Time,Evening,Whole Day,3000,5,28,390877000000,no,FALSE,FALSE,TRUE
174,8259964670,Chinchwad,Painter,FALSE,26,Male,Part Time,Evening,Evening,4000,5,27,266044000000,no,FALSE,FALSE,TRUE
175,9660756417,Chinchwad,Plumber,TRUE,32,Male,Part Time,Evening,Evening,8000,9,50,283749000000,yes,TRUE,FALSE,TRUE
176,9522054000,Chinchwad,Receptionist,FALSE,36,Male,Full Time,Afternoon,Whole Day,2000,4,22,983885000000,no,TRUE,FALSE,TRUE
177,9368513750,Chinchwad,Security Guard,TRUE,22,Male,Part Time,Afternoon,Afternoon,5000,9,46,205449000000,yes,TRUE,FALSE,FALSE
178,7296996915,Chinchwad,Tailor,TRUE,39,Male,Full Time,Afternoon,Whole Day,9000,6,58,151704000000,no,FALSE,FALSE,FALSE
179,9006034966,Chinchwad,Waiter,TRUE,39,Male,Part Time,Morning,Morning,10000,10,53,74894896568,no,TRUE,FALSE,FALSE
180,9494850539,Chinchwad,Waitress,TRUE,19,Female,Full Time,Morning,Whole Day,4000,4,26,572293000000,no,FALSE,FALSE,FALSE
181,8166831566,Chinchwad,Worker,TRUE,23,Male,Full Time,Afternoon,Whole Day,8500,7,56,205301000000,yes,FALSE,FALSE,FALSE
182,7052090826,Chinchwad,Salesperson,TRUE,18,Male,Part Time,Morning,Morning,7500,9,44,253940000000,no,FALSE,FALSE,TRUE
183,8244337402,Chinchwad,Delivery Boy,TRUE,25,Male,Full Time,Afternoon,Whole Day,3000,3,36,409299000000,yes,FALSE,FALSE,FALSE
184,9862516925,Chinchwad,Mechanic,TRUE,36,Male,Full Time,Afternoon,Whole Day,4000,5,34,914417000000,yes,TRUE,FALSE,FALSE
185,9773882491,Dattawadi,Accountant,TRUE,20,Female,Full Time,Afternoon,Whole Day,6000,9,49,839830000000,no,TRUE,FALSE,FALSE
186,9339044329,Dattawadi,Brick mason,FALSE,25,Male,Full Time,Afternoon,Whole Day,6000,6,56,975088000000,no,TRUE,FALSE,FALSE
187,7433892283,Dattawadi,Carpenter,FALSE,37,Male,Full Time,Afternoon,Whole Day,2000,2,8,953210000000,yes,TRUE,FALSE,TRUE
188,9447318823,Dattawadi,Cashier,FALSE,22,Female,Full Time,Afternoon,Whole Day,6500,7,59,51909813703,no,TRUE,FALSE,TRUE
189,9765185951,Dattawadi,Childcare Worker,TRUE,27,Female,Full Time,Morning,Whole Day,7500,6,44,469643000000,yes,FALSE,FALSE,FALSE
